,image_link,product_name,link,price,description,domain
489,https://www4.assets-gap.com/webcontent/0016/682/301/cn16682301.jpg,Silk Cotton Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425260072&cid=77996&pcid=5032,69.5,"High-quality silk blended with soft, breathable cotton makes for a refined sweater with an ultra-soft feel, feminine drape and subtle sheen.",Banana Republic
490,https://www2.assets-gap.com/webcontent/0016/326/695/cn16326695.jpg,Washable Merino Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425162062&cid=77996&pcid=5032,69.5,"A refined and exceptionally soft yarn, our Merino wool is rich in color and spun in the perfect weight for year round wear. Plus, it's also machine washable for easy-care convenience.",Banana Republic
491,https://www1.assets-gap.com/webcontent/0016/315/345/cn16315345.jpg,Chunky Ribbed Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425290002&cid=77996&pcid=5032,89.5,"Soft, breathable, durable, this chunky cotton-blend sweater has a mix of intricate ribbed and pointelle stitch details for a luxe, textured look.",Banana Republic
492,https://www3.assets-gap.com/webcontent/0016/549/736/cn16549736.jpg,Silk Cotton Stripe Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425273012&cid=77996&pcid=5032,69.5,"A mix of stripes and a solid color back creates a color-blocked effect for this crew-neck sweater. High-quality silk blended with soft, breathable cotton makes for a refined sweater with an ultra-soft feel, feminine drape and subtle sheen.",Banana Republic
493,https://www2.assets-gap.com/webcontent/0016/315/437/cn16315437.jpg,Chunky Ribbed Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425290012&cid=77996&pcid=5032,89.5,"Soft, breathable, durable, this chunky cotton-blend sweater has a mix of intricate ribbed and pointelle stitch details for a luxe, textured look.",Banana Republic
494,https://www3.assets-gap.com/webcontent/0016/310/118/cn16310118.jpg,Chunky Cotton Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425173002&cid=77996&pcid=5032,89.5,"Soft, breathable, durable, this chunky cotton sweater has a mix of intricate ribbed and pointelle stitch details, in a marled yarn for a luxe, textured look.",Banana Republic
495,https://www1.assets-gap.com/webcontent/0016/310/156/cn16310156.jpg,Chunky Cotton Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425173012&cid=77996&pcid=5032,89.5,"Soft, breathable, durable, this chunky cotton sweater has a mix of intricate ribbed and pointelle stitch details, in a marled yarn for a luxe, textured look.",Banana Republic
496,https://www2.assets-gap.com/webcontent/0016/449/476/cn16449476.jpg,Washable Merino Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425162042&cid=77996&pcid=5032,69.5,"A refined and exceptionally soft yarn, our Merino wool is rich in color and spun in the perfect weight for year round wear. Plus, it's also machine washable for easy-care convenience.",Banana Republic
497,https://www3.assets-gap.com/webcontent/0016/453/533/cn16453533.jpg,Washable Merino Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425162092&cid=77996&pcid=5032,69.5,"A refined and exceptionally soft yarn, our Merino wool is rich in color and spun in the perfect weight for year round wear. Plus, it's also machine washable for easy-care convenience.",Banana Republic
498,https://www3.assets-gap.com/webcontent/0016/326/676/cn16326676.jpg,Washable Merino Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425162082&cid=77996&pcid=5032,69.5,"A refined and exceptionally soft yarn, our Merino wool is rich in color and spun in the perfect weight for year round wear. Plus, it's also machine washable for easy-care convenience.",Banana Republic
499,https://www4.assets-gap.com/webcontent/0016/339/592/cn16339592.jpg,Washable Merino Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425162022&cid=77996&pcid=5032,69.5,"A refined and exceptionally soft yarn, our Merino wool is rich in color and spun in the perfect weight for year round wear. Plus, it's also machine washable for easy-care convenience.",Banana Republic
500,https://www1.assets-gap.com/webcontent/0016/327/036/cn16327036.jpg,Washable Merino Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425162102&cid=77996&pcid=5032,69.5,"A refined and exceptionally soft yarn, our Merino wool is rich in color and spun in the perfect weight for year round wear. Plus, it's also machine washable for easy-care convenience.",Banana Republic
501,https://www2.assets-gap.com/webcontent/0016/325/577/cn16325577.jpg,Washable Merino Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425162002&cid=77996&pcid=5032,69.5,"A refined and exceptionally soft yarn, our Merino wool is rich in color and spun in the perfect weight for year round wear. Plus, it's also machine washable for easy-care convenience.",Banana Republic
