link,product_name,price,image_link,brand
http://us.topshop.com/en/tsus/product/clothing-70483/belted-camouflage-shorts-8568183,Belted Camouflage Shorts,$68.00,https://images.topshop.com/i/TopShop/TS14K04QYLW_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/bralet-bikini-top-by-tommy-hilfiger-8568283,Bralet Bikini Top by Tommy Hilfiger,$90.00,https://images.topshop.com/i/TopShop/TS03X50QMUL_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/belted-duster-8517126,Belted Duster Jacket,$125.00,https://images.topshop.com/i/TopShop/TS07L02QBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/waffle-runner-short-8491808,Waffle Runner Shorts,$18.00,https://images.topshop.com/i/TopShop/TS14R09PYLW_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tall-white-straight-jeans-8504557,TALL White Straight Jeans,$80.00,https://images.topshop.com/i/TopShop/TS30A27QWHT_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/stone-mini-denim-skirt-8566762,Stone Mini Denim Skirt,$65.00,https://images.topshop.com/i/TopShop/TS05T73QCRM_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/split-front-flare-8557257,Split Front Flares,$60.00,https://images.topshop.com/i/TopShop/TS36F02NBLS_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/lace-bandeau-top-8566943,Lace Bandeau Top,$18.00,https://images.topshop.com/i/TopShop/TS09E02QBLE_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/cuffed-utility-trouser-8560353,Stone Cuffed Utility Trousers,$75.00,https://images.topshop.com/i/TopShop/TS16K05QSTN_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/knitted-belt-dress-8560571,Knitted Belt Dress,$55.00,https://images.topshop.com/i/TopShop/TS10J65QMON_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tie-dye-tank-8461328,Tie Dye Tank,$26.00,https://images.topshop.com/i/TopShop/TS04R30QBLE_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/mixed-floral-double-tie-top-8510710,Mixed Floral Double Tie Top,$60.00,https://images.topshop.com/i/TopShop/TS13P09QMUL_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/s19-sm-kha-but-midi-8488990,Khaki Midi Denim Skirt,$68.00,https://images.topshop.com/i/TopShop/TS05T71QKHA_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tall-rip-hem-jamie-jeans-8579214,TALL Rip Hem Jamie Jeans,$80.00,https://images.topshop.com/i/TopShop/TS30A26QBLC_M_1.jpg?$Large$,TopShop
